"caso_ano","caso_anomes","caso_mes","qtd_casos","bairro","regiao","zona","area","area_grupo","bairro_ha","bairro_pop2010","ciclo_mes","ciclo","ciclo_parte","ciclo_num"
2002,200201,1,101,"Catumbi","III RA - Rio Comprido","Centro","AP 1","AG 1",53.95,12556,6,"ciclo2002","predicao",2002
2002,200202,2,125,"Catumbi","III RA - Rio Comprido","Centro","AP 1","AG 1",53.95,12556,7,"ciclo2002","predicao",2002
2002,200203,3,117,"Catumbi","III RA - Rio Comprido","Centro","AP 1","AG 1",53.95,12556,8,"ciclo2002","predicao",2002
2002,200204,4,26,"Catumbi","III RA - Rio Comprido","Centro","AP 1","AG 1",53.95,12556,9,"ciclo2002","predicao",2002
2002,200205,5,8,"Catumbi","III RA - Rio Comprido","Centro","AP 1","AG 1",53.95,12556,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Catumbi","III RA - Rio Comprido","Centro","AP 1","AG 1",53.95,12556,11,"ciclo2002","predicao",2002
2002,200207,7,1,"Catumbi","III RA - Rio Comprido","Centro","AP 1","AG 1",53.95,12556,12,"ciclo2002","predicao",2002
2002,200201,1,228,"Rio Comprido","III RA - Rio Comprido","Centro","AP 1","AG 1",334.25,43764,6,"ciclo2002","predicao",2002
2002,200202,2,337,"Rio Comprido","III RA - Rio Comprido","Centro","AP 1","AG 1",334.25,43764,7,"ciclo2002","predicao",2002
2002,200203,3,278,"Rio Comprido","III RA - Rio Comprido","Centro","AP 1","AG 1",334.25,43764,8,"ciclo2002","predicao",2002
2002,200204,4,82,"Rio Comprido","III RA - Rio Comprido","Centro","AP 1","AG 1",334.25,43764,9,"ciclo2002","predicao",2002
2002,200205,5,9,"Rio Comprido","III RA - Rio Comprido","Centro","AP 1","AG 1",334.25,43764,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Rio Comprido","III RA - Rio Comprido","Centro","AP 1","AG 1",334.25,43764,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Rio Comprido","III RA - Rio Comprido","Centro","AP 1","AG 1",334.25,43764,12,"ciclo2002","predicao",2002
2002,200201,1,54,"Cidade Nova","III RA - Rio Comprido","Centro","AP 1","AG 1",93.48,5466,6,"ciclo2002","predicao",2002
2002,200202,2,47,"Cidade Nova","III RA - Rio Comprido","Centro","AP 1","AG 1",93.48,5466,7,"ciclo2002","predicao",2002
2002,200203,3,55,"Cidade Nova","III RA - Rio Comprido","Centro","AP 1","AG 1",93.48,5466,8,"ciclo2002","predicao",2002
2002,200204,4,11,"Cidade Nova","III RA - Rio Comprido","Centro","AP 1","AG 1",93.48,5466,9,"ciclo2002","predicao",2002
2002,200205,5,4,"Cidade Nova","III RA - Rio Comprido","Centro","AP 1","AG 1",93.48,5466,10,"ciclo2002","predicao",2002
2002,200206,6,0,"Cidade Nova","III RA - Rio Comprido","Centro","AP 1","AG 1",93.48,5466,11,"ciclo2002","predicao",2002
2002,200207,7,1,"Cidade Nova","III RA - Rio Comprido","Centro","AP 1","AG 1",93.48,5466,12,"ciclo2002","predicao",2002
2002,200201,1,190,"Estácio","III RA - Rio Comprido","Centro","AP 1","AG 1",98.04,17189,6,"ciclo2002","predicao",2002
2002,200202,2,240,"Estácio","III RA - Rio Comprido","Centro","AP 1","AG 1",98.04,17189,7,"ciclo2002","predicao",2002
2002,200203,3,163,"Estácio","III RA - Rio Comprido","Centro","AP 1","AG 1",98.04,17189,8,"ciclo2002","predicao",2002
2002,200204,4,47,"Estácio","III RA - Rio Comprido","Centro","AP 1","AG 1",98.04,17189,9,"ciclo2002","predicao",2002
2002,200205,5,12,"Estácio","III RA - Rio Comprido","Centro","AP 1","AG 1",98.04,17189,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Estácio","III RA - Rio Comprido","Centro","AP 1","AG 1",98.04,17189,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Estácio","III RA - Rio Comprido","Centro","AP 1","AG 1",98.04,17189,12,"ciclo2002","predicao",2002
2002,200201,1,405,"São Cristóvão","VII RA - São Cristóvão","Centro","AP 1","AG 1",410.56,26510,6,"ciclo2002","predicao",2002
2002,200202,2,583,"São Cristóvão","VII RA - São Cristóvão","Centro","AP 1","AG 1",410.56,26510,7,"ciclo2002","predicao",2002
2002,200203,3,342,"São Cristóvão","VII RA - São Cristóvão","Centro","AP 1","AG 1",410.56,26510,8,"ciclo2002","predicao",2002
2002,200204,4,67,"São Cristóvão","VII RA - São Cristóvão","Centro","AP 1","AG 1",410.56,26510,9,"ciclo2002","predicao",2002
2002,200205,5,17,"São Cristóvão","VII RA - São Cristóvão","Centro","AP 1","AG 1",410.56,26510,10,"ciclo2002","predicao",2002
2002,200206,6,1,"São Cristóvão","VII RA - São Cristóvão","Centro","AP 1","AG 1",410.56,26510,11,"ciclo2002","predicao",2002
2002,200207,7,0,"São Cristóvão","VII RA - São Cristóvão","Centro","AP 1","AG 1",410.56,26510,12,"ciclo2002","predicao",2002
2002,200201,1,76,"Mangueira","VII RA - São Cristóvão","Centro","AP 1","AG 1",79.81,17835,6,"ciclo2002","predicao",2002
2002,200202,2,124,"Mangueira","VII RA - São Cristóvão","Centro","AP 1","AG 1",79.81,17835,7,"ciclo2002","predicao",2002
2002,200203,3,78,"Mangueira","VII RA - São Cristóvão","Centro","AP 1","AG 1",79.81,17835,8,"ciclo2002","predicao",2002
2002,200204,4,18,"Mangueira","VII RA - São Cristóvão","Centro","AP 1","AG 1",79.81,17835,9,"ciclo2002","predicao",2002
2002,200205,5,3,"Mangueira","VII RA - São Cristóvão","Centro","AP 1","AG 1",79.81,17835,10,"ciclo2002","predicao",2002
2002,200206,6,0,"Mangueira","VII RA - São Cristóvão","Centro","AP 1","AG 1",79.81,17835,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Mangueira","VII RA - São Cristóvão","Centro","AP 1","AG 1",79.81,17835,12,"ciclo2002","predicao",2002
2002,200201,1,157,"Benfica","VII RA - São Cristóvão","Centro","AP 1","AG 1",173.64,25081,6,"ciclo2002","predicao",2002
2002,200202,2,222,"Benfica","VII RA - São Cristóvão","Centro","AP 1","AG 1",173.64,25081,7,"ciclo2002","predicao",2002
2002,200203,3,97,"Benfica","VII RA - São Cristóvão","Centro","AP 1","AG 1",173.64,25081,8,"ciclo2002","predicao",2002
2002,200204,4,22,"Benfica","VII RA - São Cristóvão","Centro","AP 1","AG 1",173.64,25081,9,"ciclo2002","predicao",2002
2002,200205,5,9,"Benfica","VII RA - São Cristóvão","Centro","AP 1","AG 1",173.64,25081,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Benfica","VII RA - São Cristóvão","Centro","AP 1","AG 1",173.64,25081,11,"ciclo2002","predicao",2002
2002,200207,7,1,"Benfica","VII RA - São Cristóvão","Centro","AP 1","AG 1",173.64,25081,12,"ciclo2002","predicao",2002
2002,200201,1,0,"Vasco da Gama","VII RA - São Cristóvão","Centro","AP 1","AG 1",86.31,15482,6,"ciclo2002","predicao",2002
2002,200202,2,0,"Vasco da Gama","VII RA - São Cristóvão","Centro","AP 1","AG 1",86.31,15482,7,"ciclo2002","predicao",2002
2002,200203,3,0,"Vasco da Gama","VII RA - São Cristóvão","Centro","AP 1","AG 1",86.31,15482,8,"ciclo2002","predicao",2002
2002,200204,4,0,"Vasco da Gama","VII RA - São Cristóvão","Centro","AP 1","AG 1",86.31,15482,9,"ciclo2002","predicao",2002
2002,200205,5,0,"Vasco da Gama","VII RA - São Cristóvão","Centro","AP 1","AG 1",86.31,15482,10,"ciclo2002","predicao",2002
2002,200206,6,0,"Vasco da Gama","VII RA - São Cristóvão","Centro","AP 1","AG 1",86.31,15482,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Vasco da Gama","VII RA - São Cristóvão","Centro","AP 1","AG 1",86.31,15482,12,"ciclo2002","predicao",2002
2002,200201,1,81,"Paquetá","XXI RA - Paquetá","Centro","AP 1","AG 1",170.57,3361,6,"ciclo2002","predicao",2002
2002,200202,2,78,"Paquetá","XXI RA - Paquetá","Centro","AP 1","AG 1",170.57,3361,7,"ciclo2002","predicao",2002
2002,200203,3,156,"Paquetá","XXI RA - Paquetá","Centro","AP 1","AG 1",170.57,3361,8,"ciclo2002","predicao",2002
2002,200204,4,28,"Paquetá","XXI RA - Paquetá","Centro","AP 1","AG 1",170.57,3361,9,"ciclo2002","predicao",2002
2002,200205,5,2,"Paquetá","XXI RA - Paquetá","Centro","AP 1","AG 1",170.57,3361,10,"ciclo2002","predicao",2002
2002,200206,6,0,"Paquetá","XXI RA - Paquetá","Centro","AP 1","AG 1",170.57,3361,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Paquetá","XXI RA - Paquetá","Centro","AP 1","AG 1",170.57,3361,12,"ciclo2002","predicao",2002
2002,200201,1,451,"Santa Teresa","XXIII RA - Santa Teresa","Centro","AP 1","AG 1",515.71,40926,6,"ciclo2002","predicao",2002
2002,200202,2,300,"Santa Teresa","XXIII RA - Santa Teresa","Centro","AP 1","AG 1",515.71,40926,7,"ciclo2002","predicao",2002
2002,200203,3,394,"Santa Teresa","XXIII RA - Santa Teresa","Centro","AP 1","AG 1",515.71,40926,8,"ciclo2002","predicao",2002
2002,200204,4,85,"Santa Teresa","XXIII RA - Santa Teresa","Centro","AP 1","AG 1",515.71,40926,9,"ciclo2002","predicao",2002
2002,200205,5,13,"Santa Teresa","XXIII RA - Santa Teresa","Centro","AP 1","AG 1",515.71,40926,10,"ciclo2002","predicao",2002
2002,200206,6,3,"Santa Teresa","XXIII RA - Santa Teresa","Centro","AP 1","AG 1",515.71,40926,11,"ciclo2002","predicao",2002
2002,200207,7,2,"Santa Teresa","XXIII RA - Santa Teresa","Centro","AP 1","AG 1",515.71,40926,12,"ciclo2002","predicao",2002
2002,200201,1,119,"Flamengo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",164.63,50043,6,"ciclo2002","predicao",2002
2002,200202,2,115,"Flamengo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",164.63,50043,7,"ciclo2002","predicao",2002
2002,200203,3,183,"Flamengo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",164.63,50043,8,"ciclo2002","predicao",2002
2002,200204,4,77,"Flamengo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",164.63,50043,9,"ciclo2002","predicao",2002
2002,200205,5,16,"Flamengo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",164.63,50043,10,"ciclo2002","predicao",2002
2002,200206,6,2,"Flamengo","IV RA - Botafogo","Zona Sul","AP 2.1","AG 2",164.63,50043,11,"ciclo2002","predicao",2002
